date,candidate,model,baseline
2024-10-23,Donald Trump,47.87612394041399,48.56530278232407
2024-10-24,Donald Trump,,
2024-10-25,Donald Trump,,
2024-10-26,Donald Trump,,
2024-10-27,Donald Trump,,
2024-10-28,Donald Trump,,
2024-10-29,Donald Trump,,
2024-10-30,Donald Trump,,
2024-10-31,Donald Trump,,
2024-11-01,Donald Trump,,
2024-11-02,Donald Trump,,
2024-11-03,Donald Trump,,
2024-11-04,Donald Trump,,
2024-11-05,Donald Trump,,
2024-10-23,Kamala Harris,49.35750997007841,49.142553191489355
2024-10-24,Kamala Harris,,
2024-10-25,Kamala Harris,,
2024-10-26,Kamala Harris,,
2024-10-27,Kamala Harris,,
2024-10-28,Kamala Harris,,
2024-10-29,Kamala Harris,,
2024-10-30,Kamala Harris,,
2024-10-31,Kamala Harris,,
2024-11-01,Kamala Harris,,
2024-11-02,Kamala Harris,,
2024-11-03,Kamala Harris,,
2024-11-04,Kamala Harris,,
2024-11-05,Kamala Harris,,
